"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"137",92,51191480,511900,148000,3,0,0
"138",93,51411693,514100,169300,4,0,0
"139",98406,55811471,558100,147100,14,2,0.14286
"140",229490,52841525,528400,152500,4,3,0.75
"141",94,51541466,515400,146600,16,1,0.0625
"142",262262,55691464,556900,146400,16,3,0.1875
"143",95,51641488,516400,148800,3,0,0
"144",96,51861736,518600,173600,4,1,0.25
"145",295035,53611535,536100,153500,41,1,0.02439
"146",98409,55821462,558200,146200,47,9,0.19149
"147",97,51681494,516800,149400,6,0,0
"148",98410,55811449,558100,144900,18,2,0.11111
"149",163953,54381899,543800,189900,4,0,0
"150",98,51701499,517000,149900,5,0,0
"151",99,51831465,518300,146500,3,0,0
"152",100,51591576,515900,157600,3,0,0
"153",196726,50361303,503600,130300,4,2,0.5
"154",101,51911492,519100,149200,7,0,0
"155",98414,55851362,558500,136200,10,0,0
"156",229498,56211448,562100,144800,3,1,0.33333
"157",102,51961498,519600,149800,127,1,0.00787
"158",163957,55671457,556700,145700,3,1,0.33333
"159",98415,55871451,558700,145100,24,3,0.125
"160",327813,54741906,547400,190600,9,1,0.11111
"161",262271,56081800,560800,180000,22,1,0.04545
"162",229500,53771513,537700,151300,30,4,0.13333
"163",103,52041506,520400,150600,19,0,0
"164",104,51961750,519600,175000,35,0,0
"165",105,52071525,520700,152500,3,0,0
"166",106,51881494,518800,149400,6,1,0.16667
"167",163961,56441266,564400,126600,5,0,0
"168",107,51941496,519400,149600,28,1,0.03571
"169",108,52111634,521100,163400,26,1,0.03846
"170",98421,55901458,559000,145800,5,1,0.2
"171",196734,55031686,550300,168600,8,0,0
"172",109,52011477,520100,147700,5,2,0.4
"173",98423,55991774,559900,177400,9,0,0
"174",110,52291572,522900,157200,3,1,0.33333
"175",111,52391506,523900,150600,4,0,0
"176",112,52281513,522800,151300,3,0,0
"177",113,52601499,526000,149900,29,0,0
"178",229510,56921921,569200,192100,34,0,0
"179",98427,56001470,560000,147000,3,1,0.33333
"180",115,52491488,524900,148800,61,2,0.03279
"181",98428,55951775,559500,177500,3,0,0
"182",116,52441504,524400,150400,8,0,0
"183",117,52511522,525100,152200,4,0,0
"184",327827,55751460,557500,146000,9,1,0.11111
"185",98430,56051380,560500,138000,52,0,0
"186",196744,50731446,507300,144600,3,1,0.33333
"187",118,52691513,526900,151300,47,4,0.08511
"188",119,52701507,527000,150700,142,3,0.02113
"189",120,52741676,527400,167600,3,0,0
"190",98434,56081764,560800,176400,5,1,0.2
"191",229518,53391656,533900,165600,8,1,0.125
"192",121,52751517,527500,151700,11,2,0.18182
"193",122,52831677,528300,167700,3,0,0
"194",123,52811860,528100,186000,32,1,0.03125
"195",124,52841857,528400,185700,26,2,0.07692
"196",98437,56081427,560800,142700,10,4,0.4
"197",125,52791864,527900,186400,13,0,0
"198",295064,53621536,536200,153600,144,3,0.02083
"199",98438,56091345,560900,134500,31,3,0.09677
"200",126,52791553,527900,155300,7,0,0
"201",127,52971528,529700,152800,3,2,0.66667
"202",327837,50541614,505400,161400,10,0,0
"203",128,53001783,530000,178300,52,0,0
"204",129,53001579,530000,157900,5,0,0
"205",98442,56091441,560900,144100,5,1,0.2
"206",130,52981719,529800,171900,12,2,0.16667
"207",163986,58111484,581100,148400,3,0,0
"208",131,52891578,528900,157800,5,1,0.2
"209",132,53021623,530200,162300,9,1,0.11111
"210",98446,56131376,561300,137600,5,1,0.2
"211",133,53051668,530500,166800,16,1,0.0625
"212",262302,52841597,528400,159700,16,0,0
"213",134,53071668,530700,166800,6,0,0
"214",135,53091539,530900,153900,23,1,0.04348
"215",327846,57881332,578800,133200,3,1,0.33333
"216",136,53101541,531000,154100,54,1,0.01852
"217",163992,50501409,505000,140900,8,1,0.125
"218",138,53221633,532200,163300,9,0,0
"219",163994,53611634,536100,163400,6,0,0
"220",139,53231560,532300,156000,64,0,0
"221",140,53261527,532600,152700,16,2,0.125
"222",196767,55981931,559800,193100,6,1,0.16667
"223",141,53381542,533800,154200,265,4,0.01509
"224",295080,55101681,551000,168100,3,0,0
"225",142,53371733,533700,173300,30,1,0.03333
"226",143,53351800,533500,180000,3,1,0.33333
"227",144,53331799,533300,179900,46,1,0.02174
"228",145,53351532,533500,153200,3,1,0.33333
"229",229542,53561867,535600,186700,25,1,0.04
"230",98459,56251836,562500,183600,5,0,0
"231",146,53471799,534700,179900,3,1,0.33333
"232",262315,54081966,540800,196600,3,0,0
"233",149,53411546,534100,154600,170,4,0.02353
"234",327859,50301405,503000,140500,28,2,0.07143
"235",327860,51371466,513700,146600,3,1,0.33333
"236",164005,55411576,554100,157600,15,1,0.06667
"237",150,53411660,534100,166000,18,1,0.05556
"238",151,53391666,533900,166600,9,0,0
"239",152,53461820,534600,182000,16,1,0.0625
"240",196778,52981715,529800,171500,18,0,0
"241",153,53541525,535400,152500,19,1,0.05263
"242",98466,56371303,563700,130300,14,0,0
"243",196780,53341831,533400,183100,3,0,0
"244",154,53561574,535600,157400,21,1,0.04762
"245",155,53501590,535000,159000,3,1,0.33333
"246",295096,56561271,565600,127100,20,2,0.1
"247",157,53561728,535600,172800,4,1,0.25
"248",229554,54681593,546800,159300,6,0,0
"249",158,53631771,536300,177100,28,1,0.03571
"250",229555,57301230,573000,123000,4,0,0
"251",159,53581553,535800,155300,8,2,0.25
"252",229556,57691341,576900,134100,3,1,0.33333
"253",164014,52881689,528800,168900,17,0,0
"254",98473,56481970,564800,197000,6,0,0
"255",160,53611655,536100,165500,7,0,0
"256",161,53611703,536100,170300,38,1,0.02632
"257",162,53641534,536400,153400,89,1,0.01124
"258",327872,56951979,569500,197900,23,1,0.04348
"259",229559,52161638,521600,163800,80,3,0.0375
"260",163,53681515,536800,151500,15,1,0.06667
"261",98477,56521974,565200,197400,21,1,0.04762
"262",164,53651530,536500,153000,296,5,0.01689
"263",165,53661539,536600,153900,125,5,0.04
"264",98478,56531274,565300,127400,28,1,0.03571
"265",166,53771540,537700,154000,324,1,0.00309
"266",229563,50931624,509300,162400,4,0,0
"267",167,53771810,537700,181000,12,0,0
"268",98481,56531975,565300,197500,8,1,0.125
"269",168,53801658,538000,165800,53,2,0.03774
"270",229565,54271523,542700,152300,20,1,0.05
"271",169,53791563,537900,156300,26,0,0
"272",98482,56551270,565500,127000,14,2,0.14286
"273",327879,53791597,537900,159700,17,0,0
"274",170,53791557,537900,155700,105,1,0.00952
"275",171,53841521,538400,152100,92,7,0.07609
"276",196797,56011435,560100,143500,8,1,0.125
"277",172,53841539,538400,153900,106,2,0.01887
"278",98485,56641229,566400,122900,3,1,0.33333
"279",173,53841582,538400,158200,3,1,0.33333
"280",196799,54131793,541300,179300,3,0,0
"281",98486,56591258,565900,125800,36,1,0.02778
"282",98487,56591955,565900,195500,4,0,0
"283",174,53831541,538300,154100,198,1,0.00505
"284",327884,54161699,541600,169900,11,0,0
"285",175,53881802,538800,180200,244,1,0.0041
"286",229573,52391474,523900,147400,3,0,0
"287",295115,54011895,540100,189500,7,1,0.14286
"288",176,53881887,538800,188700,5,1,0.2
"289",177,53921516,539200,151600,96,1,0.01042
"290",164032,52231524,522300,152400,12,1,0.08333
"291",178,53901659,539000,165900,31,4,0.12903
"292",179,53931656,539300,165600,3,3,1
"293",98492,56591248,565900,124800,3,0,0
"294",180,53911676,539100,167600,17,0,0
"295",181,53901507,539000,150700,16,0,0
"296",229578,54971643,549700,164300,3,1,0.33333
"297",182,53971709,539700,170900,8,0,0
"298",229580,55811454,558100,145400,7,0,0
"299",183,54001520,540000,152000,58,3,0.05172
"300",184,54031557,540300,155700,4,2,0.5
"301",327894,54471495,544700,149500,3,2,0.66667
"302",196811,54061520,540600,152000,29,3,0.10345
"303",185,54071517,540700,151700,104,2,0.01923
