"","X","Y","Numero","Nom","MoyenTrans","Altitude","NumeroComm","NomCommune","y_Coord_Es","x_Coord_No","WGSlong","WGSlat"
"1110",535527,154137,8592207,"Renens VD, Broye","Bus",462,5591,"Renens (VD)",535527,154137,6.59820021152538,46.5354180374465
"1111",528710,152508,8592252,"Lonay, Mara?ch?re","Bus",389,5638,"Lonay",528710,152508,6.50959667093956,46.5200738646776
"1112",561043,145925,8570573,"Villard-sur-Chamby, anc. poste","Bus",977,5886,"Montreux",561043,145925,6.93149302440843,46.4635191176739
"1113",553416,154704,8578927,"Pal?zieux, zone ind. En Grivaz","Bus",636,5805,"Oron",553416,154704,6.8313236482153,46.5420024962367
"1114",540587,185761,8501981,"Grandson, Corcelettes","Bus",453,5561,"Grandson",540587,185761,6.66006540030351,46.8203463697346
"1115",525394,150844,8501277,"Lully VD","Bus",425,5639,"Lully (VD)",525394,150844,6.46665601631396,46.5047450211838
"1116",505927,143501,8501066,"Genolier","CheminFer",562,5718,"Genolier",505927,143501,6.21456588158391,46.4362466488043
"1117",572700,146005,8501392,"Rossini?re","CheminFer",891,5842,"Rossini?re",572700,146005,7.08323717071153,46.4648149405043
"1118",566284,131691,8501480,"Rennaz (Leysin)","CheminFer",918,5407,"Leysin",566284,131691,7.00075288703237,46.3357616001663
"1119",511565,166838,8501153,"Le Lieu","CheminFer",1050,5873,"Le Lieu",511565,166838,6.28344583597675,46.6469213790254
"1120",509140,147268,8582794,"Burtigny, Les Oches","Bus",748,5854,"Burtigny",509140,147268,6.25562773621357,46.4705723719123
"1121",513695,146698,8500731,"Tartegnin, village","Bus",493,5862,"Tartegnin",513695,146698,6.3150322807438,46.4660475460395
"1122",525113,153374,8501080,"Le Marais","CheminFer",495,5653,"Vufflens-le-Ch?teau",525113,153374,6.46258550962383,46.5274707766299
"1123",582365,148615,8501397,"Rougemont","CheminFer",992,5843,"Rougemont",582365,148615,7.20895884143733,46.4886173883177
"1124",533641,154414,8501218,"Ecublens VD, Epenex","Metro",417,5635,"Ecublens (VD)",533641,154414,6.5735774614312,46.5377253396604
