"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"70",533100,158600,196676,53311586,14,1,0,6.56591868140344,46.5753246954114
"71",553900,148100,98363,55391481,10,0,0,6.83829189105741,46.4826307669833
"72",502900,130100,50,50291301,3,0,0,6.1779867617073,46.3152805124473
"73",504100,130200,51,50411302,46,2,0,6.19354308788573,46.3163522784978
"74",503600,131000,52,50361310,13,1,0,6.18688691285766,46.3234763052212
"75",553900,172600,98365,55391726,85,0,0,6.83584121226708,46.7030157084155
"76",503400,129900,229450,50341299,35,2,0,6.1845186296694,46.313553681916
"77",553500,179500,98366,55351795,3,1,0,6.82991125203451,46.7650548372696
"78",553700,156300,98367,55371563,3,2,1,6.83486591900242,46.556378746905
"79",507300,148400,294993,50731484,12,0,0,6.23144774143553,46.4805021814981
"80",503500,130300,56,50351303,7,2,0,6.18573375637886,46.3171658309588
"81",541400,152400,294996,54141524,36,3,0,6.67497283893578,46.520333371538
"82",504300,137800,58,50431378,4,0,0,6.19457506212451,46.3847388460312
"83",554000,154500,98371,55401545,3,1,0,6.83895725174361,46.5402078425996
"84",504300,130900,59,50431309,5,0,0,6.19599538833604,46.3226769233262
"85",504300,130800,61,50431308,6,0,0,6.19601594847141,46.3217774757136
"86",554300,146900,98374,55431469,21,1,0,6.84361923838794,46.4718637423833
"87",554300,145900,98375,55431459,26,4,0,6.84371793562176,46.4628683841103
"88",504700,131600,64,50471316,5,0,0,6.20104507303971,46.3290299158719
"89",554800,172300,98378,55481723,21,1,0,6.8476385557839,46.7003787061792
"90",504800,143500,66,50481435,3,1,0,6.19990410070352,46.4360785882481
"91",542100,151400,196692,54211514,57,3,0,6.68421981421514,46.5113990842451
"92",555000,148300,98380,55501483,5,0,0,6.85259683889297,46.4845046235461
"93",505900,143400,68,50591434,47,1,0,6.21423512280788,46.4353344134541
"94",555000,145300,98381,55501453,115,8,0,6.85288843445297,46.4575185272118
"95",554900,173700,98382,55491737,3,0,0,6.84880844504784,46.7129788103574
"96",566600,122300,196695,56661223,83,2,0,7.00552981741595,46.2513009806364
"97",506100,143900,70,50611439,17,1,0,6.21673573445696,46.4398597144263
"98",545000,189400,295009,54501894,3,2,1,6.71745353344478,46.853458261899
"99",555500,145200,98383,55551452,59,3,0,6.85940611998856,46.4566523700107
"100",543100,155700,262239,54311557,8,0,0,6.69671900730204,46.5501641567408
"101",551100,156600,163926,55111566,3,0,0,6.80093051148511,46.5588923655766
"102",506100,162000,71,50611620,3,0,0,6.21305709210074,46.6026602465487
"103",537600,160200,196697,53761602,26,1,0,6.62440076117763,46.5901518236371
"104",582500,148400,295011,58251484,3,2,1,7.21072520399964,46.4866868795581
"105",506300,146200,72,50631462,3,1,0,6.21887264688093,46.4605751123232
"106",555900,145200,98386,55591452,124,1,0,6.86461250240899,46.4566788051438
"107",506400,137600,196699,50641376,8,2,0,6.22191003636622,46.3832360964308
"108",569800,192600,229471,56981926,203,2,0,7.04242224823783,46.883830592637
"109",556300,149500,98388,55631495,24,1,0,6.8694129355504,46.4953851301574
"110",556400,145400,98389,55641454,37,3,0,6.87110166221649,46.4585105900232
"111",506000,137400,76,50601374,40,2,0,6.21675168235204,46.3813812889997
"112",543100,193400,163931,54311934,3,0,0,6.69204240664804,46.8892781466177
"113",506000,143300,77,50601433,7,1,0,6.21555636002779,46.4344489874539
"114",576700,148300,327788,57671483,5,0,0,7.13519435250422,46.4856107181634
"115",556100,147500,98392,55611475,15,0,0,6.86699763663237,46.4773813033679
"116",507600,144500,79,50761445,5,0,0,6.2361321563283,46.445464850708
"117",525500,185000,327790,52551850,8,0,0,6.46250156530431,46.8119842340226
"118",507000,137600,80,50701376,67,2,0,6.22970830856609,46.3833195031227
"119",507700,140500,81,50771405,11,0,0,6.23822967026379,46.4095003706674
"120",556800,145100,98394,55681451,6,0,0,6.87633620741718,46.455837872714
"121",557200,175300,98395,55721753,23,0,0,6.87873806604877,46.7275227345509
