X,Y,Numero,Nom,MoyenTrans,Altitude,NumeroComm,NomCommune
6.645703,46.760695,8579760,"Yverdon, Zone industrielle sud",Bus,440,5938,Yverdon-les-Bains
6.897136,46.463729,8579212,"Blonay, Borjaux",Bus,623,5881,Blonay
6.500105,46.527058,8504652,"Echichens, village",Bus,470,5634,Echichens
6.722329,46.496901,8582780,"Grandvaux, gare",Bus,564,5613,Bourg-en-Lavaux
6.646074,46.806658,8570252,"Grandson, gare",Bus,437,5561,Grandson
6.558442,46.544959,8515312,Bussigny Est (bif),CheminFer,410,5624,Bussigny
6.577891,46.764144,8507962,"Susc�vaz, village",Bus,445,5930,Susc�vaz
6.483696,46.500391,8589250,"Tolochenaz,cimeti�re de Morges",Bus,381,5649,Tolochenaz
6.864045,46.575322,8570451,"Bussigny-sur-Oron, crois�e",Bus,831,5805,Oron
6.392558,46.726207,8579092,"Vallorbe, Les Pontets",Bus,802,5764,Vallorbe
6.379524,46.713726,8579911,"Vallorbe, coll�ge",Bus,770,5764,Vallorbe
6.640586,46.585454,8573634,"Cugy VD, village",Bus,698,5516,Cugy (VD)
6.257432,46.467253,8501852,"Burtigny, village",Bus,738,5854,Burtigny
7.022467,46.247712,8579970,"Bex, R�sidence",Bus,447,5402,Bex
6.616461,46.855827,8581510,"Mauborget, anc. poste",Bus,1174,5562,Mauborget
6.862565,46.569746,8579741,"Bussigny-sur-Oron, coll�ge",Bus,771,5805,Oron
6.519075,46.694848,8576379,"Arnex, poste",Bus,545,5743,Arnex-sur-Orbe
6.318815,46.509223,8501872,"Gimel, Le Prunier",Bus,693,5428,Gimel
6.49051,46.835421,8571782,"La Vraconnaz, Noirvaux-Dessus",Bus,1028,5568,Sainte-Croix
6.619405,46.533117,8591998,"Lausanne, Boisy",Bus,570,5586,Lausanne
6.669856,46.554889,8591962,"Epalinges, Ball�gue",Bus,812,5584,Epalinges
6.418049,46.729353,8579906,"Ballaigues, Maillefer",Bus,862,5744,Ballaigues
6.75722,46.705686,8581943,"Thierrens, gare routi�re",Bus,771,5693,Montanaire
6.432175,46.559116,8501084,Le Man�ge,CheminFer,626,5421,Apples
6.706249,46.780656,8507683,"Cuarny, La Grande-Moille",Bus,522,5911,Cuarny
6.850018,46.458178,8593985,"Vevey, Clara-Haskil",Bus,374,5890,Vevey
6.564216,46.549924,8591931,"Bussigny VD, En Buy�re",Bus,426,5624,Bussigny
6.649578,46.5155,8591999,"Lausanne, Bonne-Esp�rance",Bus,483,5586,Lausanne
6.626722,46.542462,8595005,"Le Mont-sur-Lausanne,Maillefer",Bus,592,5587,Le Mont-sur-Lausanne
6.503303,46.514759,8592260,"Morges, Blancherie",Bus,374,5642,Morges
6.749706,46.759571,8507689,"Molondin, village",Bus,615,5921,Molondin
6.906542,46.461651,8587596,Chantemerle-pr�s-Blonay,CheminFer,660,5881,Blonay
6.47399,46.498978,8592283,"Tolochenaz, Les Saux",Bus,395,5649,Tolochenaz
6.99359,46.296926,8570607,"Ollon VD, poste",Bus,469,5409,Ollon
7.015198,46.248684,8575219,"Bex, Servanne",Bus,428,5402,Bex
6.477357,46.508165,8570082,"Tolochenaz, La Plantaz",Bus,420,5649,Tolochenaz
6.530348,46.724274,8581116,"Orbe, gare",Bus,473,5757,Orbe
6.900996,46.451181,8501383,Planchamp,CheminFer,527,5886,Montreux
6.647269,46.68604,8507971,"Vuarrens, poste",Bus,677,5539,Vuarrens
6.647135,46.516841,8592083,"Lausanne, Mousquines",Bus,514,5586,Lausanne
6.296292,46.457611,8500738,"Gilly, village",Bus,483,5857,Gilly
7.01958,46.250481,8582712,"Bex, route de Gryon",Bus,433,5402,Bex
6.712827,46.644195,8570219,"Chardonney, village",Bus,767,5804,Jorat-Menthue
6.560696,46.555511,8581916,"Bussigny VD, Cond�mine",Bus,468,5624,Bussigny
6.632542,46.779395,8579296,"Yverdon-les-Bains, Romand",Bus,434,5938,Yverdon-les-Bains
6.551931,46.550027,8581918,"Bussigny VD,ch.du Grand-Record",Bus,415,5624,Bussigny
6.478119,46.696714,8501106,Croy-Romainm�tier,Bus_CheminFer,642,5761,Romainm�tier-Envy
7.018304,46.281413,8504688,"Ollon VD, bif. Forchex",Bus,738,5409,Ollon
6.598842,46.722649,8579734,"Suchy, village",Bus,581,5929,Suchy
7.085057,46.355352,8501475,Les Echenards,CheminFer,1131,5410,Ormont-Dessous
6.608058,46.592193,8587727,Les Ripes,CheminFer,623,5521,Etagni�res
7.006429,46.345553,8501483,Leysin-Grand-H�tel,CheminFer,1450,5407,Leysin
7.00605,46.339263,8501481,Leysin-Village,CheminFer,1268,5407,Leysin
6.909937,46.483356,8501288,Les Pl�iades,CheminFer,1348,5881,Blonay
6.871926,46.470533,8501280,St-L�gier-Gare,CheminFer,533,5888,Saint-L�gier-La Chi�saz
6.842144,46.707772,8504121,Lucens,CheminFer,439,5675,Lucens
6.909518,46.456897,8587595,Chaulin-Cornaux,CheminFer,710,5886,Montreux
6.389291,46.688357,8580862,"Vaulion, centre",Bus,932,5765,Vaulion
6.946766,46.870866,8577641,Ressudens,Bus,448,5817,Grandcour
6.969825,46.316693,8517500,Aigle-Place-du-March� (DIAB),CheminFer,417,5401,Aigle
6.636536,46.512737,8592062,"Lausanne, Jurigoz",Bus,438,5586,Lausanne
6.682893,46.723245,8507698,"Orzens, village",Bus,623,5925,Orzens
6.787606,46.760252,8570389,"Champtauroz, �glise",Bus,692,5812,Champtauroz
6.912651,46.435861,8501353,Montreux MVR-mtgn,CheminFerCremaillere,396,5886,Montreux
6.282636,46.419138,8581928,"Gland, Riant-Coteau",Bus,393,5721,Gland
6.802504,46.668057,8504120,Moudon,CheminFer,510,5678,Moudon
6.271909,46.415888,8594161,"Gland, Mont Blanc sud",Bus,407,5721,Gland
6.71076,46.505707,8588453,"Villette (Lavaux), Pra Forni",Bus,387,5613,Bourg-en-Lavaux
6.923436,46.426357,8530673,Territet (funi),Funiculaire,388,5886,Montreux
6.97189,46.278793,8501401,St-Triphon,CheminFer,405,5409,Ollon
7.001947,46.3601,8530942,Berneuse (A�),Telepherique,2031,5407,Leysin
6.330184,46.513995,8570125,"Saubraz, village",Bus,685,5437,Saubraz
6.680498,46.522197,8593792,"Belmont-s.-L., Courtillet",Bus,643,5581,Belmont-sur-Lausanne
6.632493,46.77917,8595068,"Yverdon-les-Bains, rue d'Orbe",Bus,434,5938,Yverdon-les-Bains
6.735153,46.541583,8592232,"Savigny, Palaz",Bus,814,5611,Savigny
6.689932,46.832519,8504202,Onnens-Bonvillars,CheminFer,435,5565,Onnens (VD)
6.829226,46.666988,8577648,"Chavannes-sur-Moudon, Burinaux",Bus,715,5665,Chavannes-sur-Moudon
6.640506,46.787206,8504558,Yverdon-les-Bains LNM,Bateau,430,5938,Yverdon-les-Bains
7.012979,46.28536,8504687,"Antagnes, Gluti�res",Bus,698,5409,Ollon
7.044466,46.902125,8580759,"Avenches, Lacotel",Bus,434,5451,Avenches
6.511361,46.719228,8507650,"Agiez, Vers-le-Pont",Bus,507,5742,Agiez
6.619148,46.514817,8592005,"Lausanne, C�dres",Bus,413,5586,Lausanne
6.620764,46.523438,8592041,"Lausanne, EPSIC",Bus,469,5586,Lausanne
6.638116,46.517831,8592051,"Lausanne, Georgette",Bus,480,5586,Lausanne
6.678807,46.516419,8593801,"Belmont-sur-Lausanne, Coch�ne",Bus,545,5581,Belmont-sur-Lausanne
6.927188,46.481042,8570570,Bains-de-l'Alliaz,Bus,1044,5881,Blonay
6.68413,46.557116,8504171,"Lausanne, En Marin",Bus,833,5586,Lausanne
6.632342,46.510845,8592039,"Lausanne, Elys�e",Bus,417,5586,Lausanne
6.833093,46.47708,8501253,Chardonne-Jongny,Funiculaire,592,5882,Chardonne
6.670898,46.547645,8591966,"Epalinges, Croix-Blanche",Bus,787,5584,Epalinges
6.999331,46.297956,8570608,"Ollon VD, Le Moulin",Bus,525,5409,Ollon
6.204937,46.578668,8595466,"Le Brassus, Marchairuz",Bus,1054,5872,Le Chenit
7.031086,46.258566,8570646,Le B�vieux,Bus,484,5402,Bex
6.213486,46.585454,8570024,"Le Brassus, gare",Bus,1020,5872,Le Chenit
6.493958,46.511102,8501037,Morges,CheminFer,381,5642,Morges
6.508039,46.518199,8501047,Morges-St-Jean,CheminFer,380,5642,Morges
6.590113,46.529061,8592210,"Renens VD, Ch�ne",Bus,419,5591,Renens (VD)
6.16637,46.338425,8587707,"Chavannes-de-B., Champs-Blancs",Bus,473,5707,Chavannes-de-Bogis
6.399696,46.475751,8501035,Allaman,CheminFer,422,5851,Allaman
6.853061,46.576517,8570450,Chesalles-sur-Oron,Bus,787,5805,Oron
6.226141,46.472034,8582135,"Bassins, Siaux",Bus,825,5703,Bassins
6.67832,46.513087,8504010,La Conversion,CheminFer,501,5606,Lutry
6.707278,46.495339,8501123,Villette VD,Bus_CheminFer,387,5613,Bourg-en-Lavaux
6.895737,46.465594,8579213,"Blonay, gare",Bus,620,5881,Blonay
6.42221,46.55084,8519321,Apples ouest (bif),CheminFer,639,5421,Apples
6.791261,46.65315,8504019,Bressonnaz,CheminFer,533,5678,Moudon
6.843728,46.546179,8515350,Pal�zieux Est (bif),CheminFer,671,5805,Oron
7.107704,46.461794,8501347,"Les Moulins, village",Bus,889,5841,Ch�teau-d'Oex
7.027638,46.254838,8530067,Les Salines,CheminFer,458,5402,Bex
6.579092,46.533593,8593866,"Chavannes-p.-R., Pr�faully",Bus,409,5627,Chavannes-pr�s-Renens
6.751681,46.869627,8573440,"Concise, Camp de Vaumarcus",Bus,479,5554,Concise
6.558867,46.523614,8591952,"Ecublens VD, Ormet",Bus,427,5635,Ecublens (VD)
6.740898,46.581381,8570417,"Montpreveyres, village",Bus,799,5792,Montpreveyres
7.012234,46.251245,8570638,"Bex, temple",Bus,425,5402,Bex
7.074597,46.908234,8504127,Faoug,CheminFer,434,5458,Faoug
6.306356,46.445071,8501032,Gilly-Bursinel,CheminFer,429,5852,Bursinel
6.622061,46.526452,8592035,"Lausanne, Ecole Commerce",Bus,518,5586,Lausanne
7.175707,46.349382,8571279,"Les Diablerets, Les Parchets",Bus,1311,5411,Ormont-Dessus
6.453369,46.648625,8570147,"Moiry VD, coll�ge",Bus,634,5490,Moiry
6.910264,46.432369,8593935,"Montreux, March�",Bus,377,5886,Montreux
6.48754,46.508502,8592266,"Morges, Gottaz",Bus,389,5642,Morges
6.895771,46.442736,8501203,Clarens,Bus_CheminFer,400,5886,Montreux
6.907632,46.469977,8501285,Fayaux,CheminFer,970,5881,Blonay
6.546973,46.620626,8501298,"Daillens, village",Bus,499,5480,Daillens
6.661295,46.505406,8501319,Pully CGN,Bateau,373,5590,Pully
6.733596,46.516979,8582776,"Forel (Lavaux), La Tuili�re",Bus,722,5604,Forel (Lavaux)
7.055266,46.355345,8501473,Les Planches (Aigle),CheminFer,943,5410,Ormont-Dessous
6.609852,46.534721,8501162,Union-Prilly,CheminFer,508,5589,Prilly
6.96047,46.828339,8504039,Bossy Bois (embr),CheminFer,454,5816,Corcelles-pr�s-Payerne
6.473178,46.524808,8501091,Vufflens-le-Ch�teau,Bus_CheminFer,471,5653,Vufflens-le-Ch�teau
6.214287,46.585796,8501159,Le Brassus,CheminFer,1022,5872,Le Chenit
6.475005,46.496836,8501046,Tolochenaz,CheminFer,392,5649,Tolochenaz
6.916247,46.779956,8504142,Trey,CheminFer,459,5827,Trey
