8500730;323
8500731;259
8500732;347
8500733;382
8500734;384
8500736;147
8500737;450
8500738;775
8501014;624
8501015;731
8501016;935
8501017;515
8501023;616
8501030;3813
8501031;3477
8501032;251
8501033;1455
8501034;508
8501035;48
8501036;1440
8501037;4355
8501040;1514
8501042;334
8501045;549
8501046;937
8501047;2245
8501048;665
8501049;595
8501053;38
8501054;874
8501055;81
8501056;466
8501057;54
8501058;65
8501059;3778
8501060;91
8501061;3
8501062;847
8501063;685
8501064;6
8501065;445
8501066;707
8501067;475
8501068;598
8501069;82
8501075;1348
8501076;3038
8501077;3529
8501080;303
8501081;9
8501082;8
8501083;57
8501084;94
8501085;31
8501087;60
8501088;6
8501089;3
8501090;2002
8501091;399
8501092;78
8501093;175
8501094;468
8501095;447
8501096;956
8501097;219
8501098;7
8501099;428
8501100;180
8501102;856
8501103;856
8501104;80
8501105;148
8501106;289
8501107;112
8501108;834
8501109;85
8501110;206
8501111;148
8501112;1510
8501113;18
8501114;98
8501115;1021
8501116;325
8501117;3171
8501118;7076
8501119;5607
8501120;4476
8501121;3004
8501122;1383
8501123;323
8501124;1136
8501125;312
8501126;138
8501127;242
8501128;4600
8501129;4623
8501139;3149
8501140;5459
8501141;415
8501142;9
8501143;254
8501146;
8501147;61
8501148;45
8501150;92
8501151;159
8501152;10
8501153;349
8501154;46
8501155;43
8501156;129
8501157;983
8501158;363
8501159;328
8501160;7567
8501161;6179
8501162;7560
8501163;3565
8501164;256
8501165;214
8501166;1935
8501167;453
8501168;39
8501169;2160
8501170;719
8501171;1020
8501172;616
8501173;2462
8501174;1604
8501175;165
8501176;376
8501177;394
8501178;1107
8501179;3
8501180;4009
8501181;4286
8501183;5619
8501184;2365
8501187;2463
8501189;994
8501190;125
8501191;2015
8501192;4
8501194;125
8501198;507
8501199;608
8501200;5628
8501201;3951
8501202;435
8501203;4451
8501207;3899
8501208;5313
8501209;4066
8501210;2561
8501211;1752
8501212;590
8501213;368
8501214;794
8501215;2123
8501216;3452
8501217;1741
8501218;4869
8501227;1544
8501228;1960
8501230;1177
8501234;20
8501243;138
8501247;2032
8501248;4114
8501249;3038
8501250;2623
8501251;1024
8501252;540
8501253;824
8501254;904
8501255;646
8501256;173
8501260;2055
8501261;1121
8501262;865
8501263;386
8501264;1595
8501265;1107
8501266;1122
8501267;2308
8501268;477
8501269;303
8501277;495
8501278;504
8501280;1132
8501281;2182
8501282;975
8501283;754
8501284;536
8501285;69
8501286;86
8501287;112
8501288;47
8501289;774
8501296;325
8501297;279
8501298;672
8501299;764
8501300;3446
8501301;1039
8501302;549
8501303;1824
8501304;1043
8501306;163
8501308;500
8501312;3088
8501313;1145
8501314;1281
8501316;395
8501317;711
8501318;1459
8501319;809
8501320;1305
8501330;1968
8501333;3090
8501343;29
8501344;
8501345;13
8501346;55
8501347;184
8501348;87
8501349;37
8501350;231
8501351;70
8501352;2612
8501353;3120
8501354;
8501357;75
8501358;
8501359;750
8501360;2781
8501361;315
8501362;185
8501363;78
8501364;91
8501365;17
8501366;3
8501367;
8501368;
8501369;
8501370;1182
8501371;990
8501372;13
8501373;3
8501374;711
8501375;1359
8501376;150
8501377;237
8501380;2986
8501381;2451
8501382;580
8501383;767
8501384;277
8501385;17
8501386;
8501388;21
8501390;1458
8501391;46
8501392;279
8501393;6
8501394;798
8501395;181
8501396;63
8501397;372
8501400;2516
8501401;65
8501402;1200
8501446;3
8501447;300
8501452;65
8501458;239
8501459;24
8501461;1213
8501467;278
8501468;116
8501469;19
8501470;4
8501471;
8501472;10
8501473;26
8501474;238
8501475;18
8501476;57
8501477;61
8501479;514
8501480;70
8501481;1242
8501482;1836
8501483;1330
8501484;466
8501485;106
8501486;
8501487;1456
8501488;71
8501490;14
8501491;135
8501492;402
8501493;187
8501494;360
8501495;648
8501497;3
8501498;6
8501499;6
8501554;1656
