X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
7.040921,46.884599,7.0409210000,46.8845990000,8504126,Avenches,CheminFer,438,5451,Avenches,62,709,1483,3064
6.521018,46.523621,6.5210180000,46.5236210000,8515336,Lonay A (bif),CheminFer,388,5638,Lonay,10,232,1111,5628
6.741358,46.859544,6.7413580000,46.8595440000,8515758,La Lance (diag),CheminFer,438,5554,Concise,,,12,45
6.519541,46.523132,6.5195410000,46.5231320000,8501048,Lonay-Préverenges,CheminFer,387,5638,Lonay,8,123,1494,6460
7.023974,46.327348,7.0239740000,46.3273480000,8501471,Plambuit,CheminFer,798,5401,Aigle,,,7,32
6.641148,46.781885,6.6411480000,46.7818850000,8504200,Yverdon-les-Bains,CheminFer,435,5938,Yverdon-les-Bains,5,26,2023,13461
6.917556,46.433095,6.9175560000,46.4330950000,8501360,Montreux-Les Planches,CheminFerCremaillere,450,5886,Montreux,74,610,3446,9304
6.235375,46.384549,6.2353750000,46.3845490000,8519325,Nyon [gare souterraine],CheminFer,395,5724,Nyon,189,2011,5184,14460
6.551814,46.547588,6.5518140000,46.5475880000,8501117,Bussigny,CheminFer,407,5624,Bussigny,153,1865,4328,8199
6.147283,46.446882,6.1472830000,46.4468820000,8519077,St-Cergue Les Cheseaux,CheminFer,1103,5727,Saint-Cergue,19,164,317,1095
6.579829,46.795348,6.5798290000,46.7953480000,8504293,Essert-sous-Champvent,CheminFer,507,5905,Champvent,4,13,72,164
6.558442,46.544959,6.5584420000,46.5449590000,8515312,Bussigny Est (bif),CheminFer,410,5624,Bussigny,5,182,2450,7086
6.550877,46.534789,6.5508770000,46.5347890000,8501148,Lécheires (bif),CheminFer,399,5633,Echandens,,20,95,4755
6.870104,46.735,6.8701040000,46.7350000000,8504141,Henniez,CheminFer,476,5819,Henniez,3,6,13,203
6.432175,46.559116,6.4321750000,46.5591160000,8501084,Le Manége,CheminFer,626,5421,Apples,3,23,205,1002
6.231392,46.60578,6.2313920000,46.6057800000,8501157,Sentier-Orient,CheminFer,1013,5872,Le Chenit,94,551,1220,2293
6.906542,46.461651,6.9065420000,46.4616510000,8587596,Chantemerle-près-Blonay,CheminFer,660,5881,Blonay,57,168,312,2810
6.979019,46.431678,6.9790190000,46.4316780000,8501369,Rochers-de-Naye,CheminFerCremaillere,1970,5891,Veytaux,,,,
6.939882,46.819643,6.9398820000,46.8196430000,8504134,Payerne,CheminFer,452,5822,Payerne,204,1144,4024,8385
6.613027,46.600056,6.6130270000,46.6000560000,8501171,Etagnières,CheminFer,631,5521,Etagnières,127,623,1080,1118
6.602624,46.526697,6.6026240000,46.5266970000,8518452,Prilly-Malley,CheminFer,430,5589,Prilly,,1256,5833,25495
6.900996,46.451181,6.9009960000,46.4511810000,8501383,Planchamp,CheminFer,527,5886,Montreux,52,355,1142,6131
7.006955,46.341417,7.0069550000,46.3414170000,8501725,Versmont,CheminFer,1385,5407,Leysin,163,632,2620,3602
6.478119,46.696714,6.4781190000,46.6967140000,8501106,Croy-Romainmôtier,Bus_CheminFer,642,5761,Romainmôtier-Envy,25,136,355,510
7.085057,46.355352,7.0850570000,46.3553520000,8501475,Les Echenards,CheminFer,1131,5410,Ormont-Dessous,3,9,24,87
6.608058,46.592193,6.6080580000,46.5921930000,8587727,Les Ripes,CheminFer,623,5521,Etagnières,14,155,419,2922
7.006429,46.345553,7.0064290000,46.3455530000,8501483,Leysin-Grand-hôtel,CheminFer,1450,5407,Leysin,66,140,1708,3642
7.00605,46.339263,7.0060500000,46.3392630000,8501481,Leysin-Village,CheminFer,1268,5407,Leysin,18,607,1505,3496
6.374455,46.552257,6.3744550000,46.5522570000,8501095,Ballens,CheminFer,713,5423,Ballens,38,264,463,463
6.909937,46.483356,6.9099370000,46.4833560000,8501288,Les Pléiades,CheminFer,1348,5881,Blonay,,3,68,178
6.871926,46.470533,6.8719260000,46.4705330000,8501280,St-Légier-Gare,CheminFer,533,5888,Saint-Légier-La Chiésaz,67,553,1452,3630
6.842144,46.707772,6.8421440000,46.7077720000,8504121,Lucens,CheminFer,439,5675,Lucens,9,249,1293,3250
6.909518,46.456897,6.9095180000,46.4568970000,8587595,Chaulin-Cornaux,CheminFer,710,5886,Montreux,3,34,190,1816
6.969825,46.316693,6.9698250000,46.3166930000,8517500,Aigle-Place-du-Marché (DIAB),CheminFer,417,5401,Aigle,156,801,2399,5842
6.546434,46.637499,6.5464340000,46.6374990000,8515319,Daillens (bif),CheminFer,445,5480,Daillens,,,,5
6.912651,46.435861,6.9126510000,46.4358610000,8501353,Montreux MVR-mtgn,CheminFerCremaillere,396,5886,Montreux,216,870,5216,9948
